"","trip","real","normal","normal_F","normal_5","normal_95","t","frequency"
"186",2078,4504,4623.6021927219,4694.57053091569,4592.30843390791,4773.14783133301,7448.29714423102,1709.51088378197
"187",2091,265,375.904696309669,470.1919486206,420.736105056623,330.814387515359,448.742932581421,758.669696130985
"188",2099,824,1445.61947710592,1020.45869351078,1130.96981535796,1275.40023065184,1499.43064294325,1219.01600455374
"189",2108,1831,1423.30169598866,1808.72640951702,1495.14654048255,2721.60151328311,411.602750953114,2540.3528300622
"190",2113,1161,1271.5822870791,1513.35402212036,1315.45601154427,1319.45412381195,170.828898682516,1688.39926254486
"191",2131,146,238.280566736963,131.157159658657,211.087955633849,205.536369311426,1695.93353714247,1844.81794758204
"192",2134,2888.40700006485,2334.03449940949,2039.92755346261,1805.10660026848,1863.63579473136,2438.79913219727,1155.15708012863
"193",2144,1495.67100000381,1789.76769666486,1611.08690413746,1396.51797333463,1664.28040941628,50161.6907198192,2559.38487970968
"194",2178,933,856.263703310192,716.844841472884,800.231370783582,640.754220635281,4594.96901683068,1292.69845159811
"195",2180,519,518.147967861899,514.39799884948,581.857366313712,493.231035630355,738.754536908962,1899.02324065722
"196",2183,3240,3186.70129904583,3530.81705109869,3531.06685015153,3548.36072469994,9494.21186470341,1868.33487157295
"197",2193,2405.66899991035,2322.05360637844,7035.56211833285,1848.21369132084,4149.50188857101,1236.37199403555,1015.83325282267
"198",2199,2484.73699998856,1965.21888942327,2526.79215752381,2136.40659020536,1811.01490078718,1359.2113942361,1025.88339763305
"199",2203,740.858999967575,869.869842411753,1012.13280338842,921.320670407032,854.403785494172,1642.44447914034,1956.41719995404
"200",2204,1871.56200003624,1742.78846255997,2342.67645308011,1981.80075294008,1963.1137050761,1074.37271247309,1571.40852508055
"201",2207,1709,1657.54461287185,1967.66516027642,1815.2226372519,3979.75883927232,159.082808972942,1639.38125295751
"202",2214,1293,1373.44389904153,1779.43329739707,1528.28537360266,1264.91916859626,3759.45805149633,2164.7749967471
"203",2228,933.868999958038,1087.21881587142,1022.96194933266,1245.3862187001,1370.88827041411,744.337194274446,2132.33121263991
"204",2236,1565.3259999752,1597.70192020134,1482.55662417057,1164.46106503511,1224.79407371238,3767.51102436122,1806.86132152504
"205",2238,1026,1055.79629849189,1491.47090708372,1286.65542381459,1489.49824568488,1495.41678088391,1289.24522662661
"206",2242,2758,2849.30558512066,2774.402540694,3118.21159623504,3243.69543041629,5424.84162231444,920.43053896262
"207",2291,2973.00099992752,2974.89886848364,3829.09567700548,2901.55123484622,6057.83931869686,888.508759234717,1266.69932956235
"208",2293,2170,2454.89784263914,4390.55054253839,2207.63601593998,2802.67914544514,3770.22562513564,985.623442694823
"209",2294,886,1304.28664895031,1067.81623787822,679.967801936545,1151.90977735217,1759.10709814863,1642.92074424932
"210",2324,782,1115.66746583523,1840.7972800063,1022.76334766997,1073.15690522046,1731.49018434088,2050.73098209832
"211",2327,326.762000083923,418.993313833155,609.973569106439,729.128581488123,592.023944005571,2003.86556538322,1398.01197942537
"212",2339,656,790.274943793931,665.032100731361,615.906879152747,1128.80542558092,18833.6954787755,1330.52616424487
"213",2380,1064,1573.251189175,1828.84788999886,1452.19220623871,2608.27580819723,716.95328634871,1276.47774884735
"214",2392,991,1333.24581119237,1332.80624451653,1096.28577571875,1518.73096670596,1239.62151764501,1757.45264187465
"215",2437,2060,2158.28579437488,2173.10661454549,2192.34759878825,2895.38999460831,1821.39081517594,2081.49040696353
"216",2448,1205,1281.56232065673,1056.84381406677,1422.91940603675,1257.29084318993,4017.30684592476,714.75634659997
"217",2466,509,509.124789351545,797.649011311164,692.925333231573,1084.98994377259,992.712972691281,699.678758122713
"218",2489,579.993000030518,577.558042360415,579.23964472475,805.827780703354,540.636322614179,719.09580428806,2673.79565202809
"219",2504,1499,1451.71024841866,1628.05601243884,1484.49912377335,1583.62545682288,1079.32181851346,669.702416621898
"220",2507,1680,2116.61089709407,2271.35399945158,2002.5867874026,2700.18167762729,1124.3518340233,1437.53569133546
"221",2512,1531,1248.55317014632,1249.34952913333,1254.7878565729,2502.24591955974,1112.39882786142,2436.88246413127
"222",2521,345,242.336426258763,301.606040720577,286.311204703827,322.639839336203,3071.4292472768,1893.35297134149
"223",2523,1610,1606.33663708383,1811.63594611028,1624.51239901627,1713.82094984682,1373.10533701639,2387.04119149396
"224",2526,633,580.683281486928,597.333810696666,491.923192471133,542.777790875414,3199.97208239816,2577.61118270539
"225",2527,1782.07699990273,1975.29360463982,4453.91054434372,1665.08595779746,1728.70084450224,960.335745331149,1968.68024364115
"226",2533,956,921.076746318433,960.781732441205,814.945615381856,1012.9686698649,2803.78714345304,922.155293113707
"227",2535,473,346.899199158999,358.391269495293,367.337038318468,433.521417796109,1763.90578726488,2371.38760444334
"228",2539,389.884000062943,471.54044123319,376.806935479021,425.053154889295,389.116862876239,3125.80362843242,828.079609850016
"229",2549,231,229.078395087811,282.384612100749,148.241467195895,286.482034637582,531.657876984981,1535.17543847452
"230",2550,772.036999940872,754.066697533133,676.045834629211,692.700222743849,918.55017969261,821.031240699903,770.050157887817
"231",2552,1718.25699996948,1424.65973459143,1310.73023173148,1305.57609971791,1268.14672623029,4070.7403881352,1834.09174333215
"232",2573,1162,1261.13840004198,1225.84784264687,1183.02134209131,1020.53631014986,1989.22528274269,1620.11616631577
"233",2579,1456.72399997711,1547.44196258657,1575.47554710664,1517.79195392928,1622.50986937992,4852.19224686724,1537.92178716383
"234",2581,1276.39299988747,1267.00489489711,1621.40537946731,1391.30177522489,1339.94195829142,6206.81281567205,1615.68828066087
"235",2585,1211.84299993515,951.258012136281,1279.34333991937,1028.5656703283,1222.33104419575,881.828762461437,2226.6614342277
"236",2597,876,2181.19584609678,1011.94770505999,1500.61582182243,1084.94595975948,3233.4864626808,1293.21193151434
"237",2609,1067,1065.88976087423,1418.19404784868,1080.78215861009,1607.69838224588,1171.23066872771,2074.98475164735
"238",2610,1940,2185.60878259994,3199.87177763921,2057.86813000847,6701.75111417286,1631.19044541663,1689.09076628307
"239",2613,2313,2611.57843896431,3421.70645382932,2505.79792307624,3768.06416223285,1569.52770217042,897.82669223761
"240",2622,883,972.2198678677,978.450912890447,973.262332036465,919.573669115217,1772.90081309565,912.415106985729
"241",2624,1209.00699996948,934.526684722863,523.02432369434,1260.23138282433,1446.43605187089,1307.15234877874,1639.71177710137
"242",2641,1511,1878.08465065645,2589.67597328136,2083.91141774536,2067.30732012117,1775.57380402257,1282.15984251367
"243",2648,590.12299990654,728.575562425371,1277.71380268163,627.693234436835,666.228666173556,2079.51903319093,2921.56896743875
"244",2664,308,338,338,338,338,1678,867.974610865506
